#metadataBlock	name	dataverseAlias	displayName	blockURI														
	citation		Common Metadata	https://dataverse.org/schema/citation/														
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayOnCreate	required	parent	metadatablock_id	termURI		
	projectId	Project ID	The identifier of the project. For a European project, use CORDIS to find the project ID:  https://cordis.europa.eu/projects/home_fr.html	235334	text	85	. ID #VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	project	citation			
	projectURL	Link to Project Website	The URL to the project website.	Enter full URL, starting with http://	url	86	"<a href=""#VALUE"">#VALUE</a>"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	project	citation			
	projectWorkPackage	Project Work Package			text	87	. WP #VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	project	citation			
	projectTask	Project Task			text	88	. Task #VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	project	citation			
	timePeriodCovered	Time Period Covered	Time period to which the data refer. This item reflects the time period covered by the data, not the dates of coding or making documents machine-readable or the dates the data were collected. Also known as span.		none	89	;	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation	https://schema.org/temporalCoverage		
	timePeriodCoveredStart	Start	Start date which reflects the time period covered by the data, not the dates of coding or making documents machine-readable or the dates the data were collected.	YYYY-MM-DD	date	90	#NAME: #VALUE 	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	timePeriodCovered	citation			
	timePeriodCoveredEnd	End	End date which reflects the time period covered by the data, not the dates of coding or making documents machine-readable or the dates the data were collected.	YYYY-MM-DD	date	91	#NAME: #VALUE 	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	timePeriodCovered	citation			
	dateOfCollection	Date of Collection	Contains the date(s) when the data were collected.		none	92	;	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation			
	dateOfCollectionStart	Start	Date when the data collection started.	YYYY-MM-DD	date	93	#NAME: #VALUE 	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	dateOfCollection	citation			
	dateOfCollectionEnd	End	Date when the data collection ended.	YYYY-MM-DD	date	94	#NAME: #VALUE 	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	dateOfCollection	citation			
	depositor	Depositor	The person (Family Name, Given Name) or the name of the organization that deposited this Dataset to the repository.		text	95		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation			
	dateOfDeposit	Deposit Date	Date that the Dataset was deposited into the repository.	YYYY-MM-DD	date	96		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		citation	http://purl.org/dc/terms/dateSubmitted		
#controlledVocabulary	DatasetField	Value	identifier	displayOrder														
	kindOfData	Audiovisual		0														
	kindOfData	Collection		1														
	kindOfData	Dataset		2														
	kindOfData	Event		3														
	kindOfData	Image		4														
	kindOfData	Interactive Resource		5														
	kindOfData	Model		6														
	kindOfData	Physical Object		7														
	kindOfData	Service		8														
	kindOfData	Software		9														
	kindOfData	Sound		10														
	kindOfData	Text		11														
	kindOfData	Workflow		12														
	kindOfData	Other		13														
	dataOrigin	observational data		0														
	dataOrigin	experimental data		1														
	dataOrigin	survey data		2														
	dataOrigin	analysis data		3														
	dataOrigin	text corpus		4														
	dataOrigin	simulation data		5														
	dataOrigin	aggregate data		6														
	dataOrigin	audiovisual corpus		7														
	dataOrigin	computer code		8														
	dataOrigin	Other		9														
	subject	Agricultural Sciences	D01	0														
	subject	Arts and Humanities	D0	1														
	subject	Astronomy and Astrophysics	D1	2														
	subject	Business and Management	D2	3														
	subject	Chemistry	D3	4														
	subject	Computer and Information Science	D7	5														
	subject	Earth and Environmental Sciences	D4	6														
	subject	Engineering	D5	7														
	subject	Law	D8	8														
	subject	Mathematical Sciences	D9	9														
	subject	Medicine, Health and Life Sciences	D6	10														
	subject	Physics	D10	11														
	subject	Social Sciences	D11	12														
	subject	Other	D12	13														
	publicationIDType	ark		0														
	publicationIDType	arXiv		1														
	publicationIDType	bibcode		2														
	publicationIDType	doi		3														
	publicationIDType	ean13		4														
	publicationIDType	eissn		5														
	publicationIDType	handle		6														
	publicationIDType	isbn		7														
	publicationIDType	issn		8														
	publicationIDType	istc		9														
	publicationIDType	lissn		10														
	publicationIDType	lsid		11														
	publicationIDType	pmid		12														
	publicationIDType	purl		13														
	publicationIDType	upc		14														
	publicationIDType	url		15														
	publicationIDType	urn		16														
	relatedDatasetIDType	ark		0														
	relatedDatasetIDType	doi		1														
	relatedDatasetIDType	handle		2														
	relatedDatasetIDType	purl		3														
	relatedDatasetIDType	urn		4														
	contributorType	Data Collector		0														
	contributorType	Data Curator		1														
	contributorType	Data Manager		2														
	contributorType	Editor		3														
	contributorType	Funder		4														
	contributorType	Hosting Institution		5														
	contributorType	Metadata author		6														
	contributorType	Project Leader		7														
	contributorType	Project Manager		8														
	contributorType	Project Member		9														
	contributorType	Registration agency		10		 												
	contributorType	Registration authority 		11														
	contributorType	Related Person		12														
	contributorType	Researcher		13														
	contributorType	Research Group		14														
	contributorType	Rights Holder		15														
	contributorType	Sponsor		16														
	contributorType	Supervisor		17														
	contributorType	Work Package Leader		18														
	contributorType	Other		19														
	authorIdentifierScheme	DAI		0														
	authorIdentifierScheme	DOI		1														
	authorIdentifierScheme	GND		2														
	authorIdentifierScheme	idHAL		3														
	authorIdentifierScheme	ISNI		4														
	authorIdentifierScheme	LCNA		5														
	authorIdentifierScheme	ORCID		6														
	authorIdentifierScheme	ResearcherID		7														
	authorIdentifierScheme	ScopusID		8														
	authorIdentifierScheme	VIAF		9														
	contributorIdentifierScheme	DOI		0														
	contributorIdentifierScheme	idHAL		1														
	contributorIdentifierScheme	info		2														
	contributorIdentifierScheme	ISNI		3														
	contributorIdentifierScheme	LCNA		4														
	contributorIdentifierScheme	ORCID		5														
	lifeCycleStep	Study proposal		0														
	lifeCycleStep	Funding		1														
	lifeCycleStep	Study design		2														
	lifeCycleStep	Instrument design		3														
	lifeCycleStep	Questionnaire translation		4														
	lifeCycleStep	Questionnaire adaptation		5														
	lifeCycleStep	Interviewer training		6														
	lifeCycleStep	Ethics review		7														
	lifeCycleStep	Legal review		8														
	lifeCycleStep	Sampling		9														
	lifeCycleStep	Instrument pre-testing		10														
	lifeCycleStep	Pilot study		11														
	lifeCycleStep	Data collection		12														
	lifeCycleStep	Data collection reports		13														
	lifeCycleStep	Data processing		14														
	lifeCycleStep	Data processing: Coding		15														
	lifeCycleStep	Data processing: Classification		16														
	lifeCycleStep	Data processing: Transcriptions of interviews		17														
	lifeCycleStep	Data processing: Weighting		18														
	lifeCycleStep	Data processing: Aggregation		19														
	lifeCycleStep	Data processing: Composite measures		20														
	lifeCycleStep	Data processing: Derivation		21														
	lifeCycleStep	Data processing: Quality checks		22														
	lifeCycleStep	Data processing: Data integration		23														
	lifeCycleStep	Data processing: Disclosure limitation		24														
	lifeCycleStep	Data processing: Imputation		25														
	lifeCycleStep	Metadata production		26														
	lifeCycleStep	Metadata editing		27														
	lifeCycleStep	Metadata translation		28														
	lifeCycleStep	Final report		29														
	lifeCycleStep	Evaluation		30														
	lifeCycleStep	Original release		31														
	lifeCycleStep	Deposit		32														
	lifeCycleStep	Preservation package production		33														
	lifeCycleStep	Dissemination package production		34														
	lifeCycleStep	Dissemination package release		35														
	lifeCycleStep	Data analysis reports		36														
	lifeCycleStep	New version release		37														
	lifeCycleStep	Other		38														
	language	Abkhaz		0														
	language	Afar		1														
	language	Afrikaans		2														
	language	Akan		3														
	language	Albanian		4														
	language	Amharic		5														
	language	Arabic		6														
	language	Aragonese		7														
	language	Armenian		8														
	language	Assamese		9														
	language	Avaric		10														
	language	Avestan		11														
	language	Aymara		12														
	language	Azerbaijani		13														
	language	Bambara		14														
	language	Bashkir		15														
	language	Basque		16														
	language	Belarusian		17														
	language	Bengali, Bangla		18														
	language	Bihari		19														
	language	Bislama		20														
	language	Bosnian		21														
	language	Breton		22														
	language	Bulgarian		23														
	language	Burmese		24														
	language	Catalan,Valencian		25														
	language	Chamorro		26														
	language	Chechen		27														
	language	Chichewa, Chewa, Nyanja		28														
	language	Chinese		29														
	language	Chuvash		30														
	language	Cornish		31														
	language	Corsican		32														
	language	Cree		33														
	language	Croatian		34														
	language	Czech		35														
	language	Danish		36														
	language	Divehi, Dhivehi, Maldivian		37														
	language	Dutch		38														
	language	Dzongkha		39														
	language	English		40														
	language	Esperanto		41														
	language	Estonian		42														
	language	Ewe		43														
	language	Faroese		44														
	language	Fijian		45														
	language	Finnish		46														
	language	French		47														
	language	Fula, Fulah, Pulaar, Pular		48														
	language	Galician		49														
	language	Ganda		50														
	language	Georgian		51														
	language	German		52														
	language	Greek (modern)		53														
	language	Guaraní		54														
	language	Gujarati		55														
	language	Haitian, Haitian Creole		56														
	language	Hausa		57														
	language	Hebrew (modern)		58														
	language	Herero		59														
	language	Hindi		60														
	language	Hiri Motu		61														
	language	Hungarian		62														
	language	Icelandic		63														
	language	Ido		64														
	language	Igbo		65														
	language	Indonesian		66														
	language	Interlingua		67														
	language	Interlingue		68														
	language	Inuktitut		69														
	language	Inupiaq		70														
	language	Irish		71														
	language	Italian		72														
	language	Japanese		73														
